,ordernumber,orderdate,channel,order_quantity,unit_price,revenue,total_unit_cost,profit_per_unit,customer_names,product_name,county,state_code,state,region_type,latitude,longitude,population,region,2017_budgets
13,SO - 0004653,2017-01-01,Wholesale,9,1232.8,11095.199999999999,788.992,443.808,Pixoboo Corp,Product 1,Benton County,WA,Washington,City,46.28569,-119.28446,54248,West,3016489.209
14,SO - 0004702,2017-01-01,Distributor,11,2519.2000000000003,27711.200000000004,1309.9840000000002,1209.2160000000001,Kaymbo Company,Product 26,Alameda County,CA,California,City,37.87159,-122.27275,120972,West,5685138.2700000005
15,SO - 0005293,2017-01-01,Wholesale,10,1125.6000000000001,11256.000000000002,540.288,585.3120000000001,Liberty Group,Product 3,Cleveland County,OK,Oklahoma,City,35.22257,-97.43948,120284,South,2642352.432
16,SO - 0005571,2017-01-01,Wholesale,9,1112.2,10009.800000000001,556.1,556.1,Chatterbri Ltd,Product 26,Kern County,CA,California,City,35.37329,-119.01871,373640,West,5685138.2700000005
17,SO - 0007215,2017-01-01,Export,6,1105.5,6633.0,840.1800000000001,265.31999999999994,SHISEIDO Ltd,Product 18,Vanderburgh County,IN,Indiana,City,37.97476,-87.55585,119943,Midwest,2309499.045
18,SO - 0009517,2017-01-01,Wholesale,12,2659.9,31918.800000000003,2207.717,452.183,Blogspan Ltd,Product 5,Olmsted County,MN,Minnesota,City,44.02163,-92.4699,112225,Midwest,3925424.5420000004
19,SO - 0009687,2017-01-01,Distributor,9,998.3000000000001,8984.7,469.201,529.099,Skajo Ltd,Product 17,Waukesha County,WI,Wisconsin,City,43.01168,-88.23148,71970,Midwest,2119616.824
20,SO - 0001822,2017-01-01,Distributor,8,1031.8,8254.4,866.7119999999999,165.08800000000008,Livepath Corp,Product 18,Rockwall County/Dallas County,TX,Texas,City,32.91592,-96.54867,60236,South,2309499.045
21,SO - 0003716,2017-01-01,Wholesale,5,5728.5,28642.5,3437.1,2291.4,Realbuzz Ltd,Product 14,Cuyahoga County,OH,Ohio,City,41.40477,-81.72291,79937,Midwest,4028698.4090000005
22,SO - 0004300,2017-01-01,Wholesale,9,2251.2000000000003,20260.800000000003,1868.496,382.7040000000002,MEIJER Corp,Product 28,Orange County,CA,California,City,33.74557,-117.86783,335400,West,1003867.767
23,SO - 0006401,2017-01-01,Export,12,1078.7,12944.400000000001,776.664,302.03600000000006,Aldi Ltd,Product 27,Stanislaus County,CA,California,City,37.6391,-120.99688,211266,West,964940.2310000001
24,SO - 0006761,2017-01-01,Distributor,10,2613.0,26130.0,1829.1,783.9000000000001,Twimbo Company,Product 4,Peach County/Houston County,GA,Georgia,City,32.5971,-83.65394,73490,South,2885560.824
25,SO - 0007043,2017-01-01,Distributor,10,1132.3,11323.0,826.579,305.721,Army Group,Product 25,Orange County,CA,California,City,33.60002,-117.672,97156,West,5342315.484
26,SO - 0007191,2017-01-01,Distributor,9,1078.7,9708.300000000001,722.729,355.971,Eayo Company,Product 5,Clarke County,GA,Georgia,Unified Government,33.95219,-83.36715,123912,South,3925424.5420000004
27,SO - 0010754,2017-01-01,Distributor,9,1963.1000000000001,17667.9,1629.373,333.7270000000001,Pacific Ltd,Product 6,Hillsborough County,FL,Florida,City,27.94752,-82.45843,369075,South,1672229.416
28,SO - 000378,2017-01-01,Wholesale,11,924.6,10170.6,536.268,388.332,Jayo Company,Product 13,Stark County,OH,Ohio,Township,40.8686,-81.36892,52710,Midwest,3720639.645
29,SO - 0002059,2017-01-01,Wholesale,9,1018.4,9165.6,407.36,611.04,Feednation Corp,Product 3,Dallas County,TX,Texas,City,32.58986,-96.85695,52486,South,2642352.432
30,SO - 0009193,2017-01-01,Distributor,5,891.1,4455.5,730.702,160.39800000000002,NARS Group,Product 3,Manatee County,FL,Florida,City,27.49893,-82.57482,54437,South,2642352.432
31,SO - 0002350,2017-01-01,Distributor,12,884.4,10612.8,486.42,397.97999999999996,Johnson Ltd,Product 13,New Haven County,CT,Connecticut,Town,41.5585,-73.03668,108802,Northeast,3720639.645
32,SO - 0004688,2017-01-01,Wholesale,8,1038.5,8308.0,633.485,405.015,Flipstorm Group,Product 25,Riverside County,CA,California,City,33.72835,-117.14642,87174,West,5342315.484
33,SO - 0005205,2017-01-01,Wholesale,11,2378.5,26163.5,1403.3149999999998,975.1850000000002,CARDINAL Group,Product 8,Wagoner County/Tulsa County,OK,Oklahoma,City,36.03653,-95.781,106563,South,1085037.3290000001
34,SO - 0007853,2017-01-01,Distributor,8,1018.4,8147.2,448.096,570.304,Twimbo Company,Product 16,Pulaski County,AR,Arkansas,City,34.74648,-92.28959,197992,South,2062061.144
35,SO - 0007956,2017-01-01,Distributor,9,877.7,7899.3,737.268,140.43200000000002,Aldi Ltd,Product 25,Pennington County,SD,South Dakota,City,44.08054,-103.23101,73569,Midwest,5342315.484
36,SO - 0009514,2017-01-01,Wholesale,11,904.5,9949.5,587.9250000000001,316.57499999999993,Camido Company,Product 19,Muscogee County,GA,Georgia,City,32.46098,-84.98771,200579,South,1645841.6
37,SO - 0008126,2017-01-01,Wholesale,8,3276.3,26210.4,2588.277,688.0230000000001,Mylan Corp,Product 4,DuPage County,IL,Illinois,Township,41.86177,-87.9761,125730,Midwest,2885560.824
38,SO - 0008167,2017-01-01,Distributor,5,3892.7000000000003,19463.5,3075.233,817.4670000000001,Dynazzy Company,Product 14,Los Angeles County,CA,California,City,33.93029,-118.21146,71989,West,4028698.4090000005
39,SO - 000298,2017-01-02,Distributor,8,3899.4,31195.2,2027.688,1871.712,Neutrogena Ltd,Product 19,Sangamon County,IL,Illinois,Township,39.79106,-89.64457,116358,Midwest,1645841.6
40,SO - 0002724,2017-01-02,Wholesale,5,234.5,1172.5,117.25,117.25,Epic Group,Product 2,Miami-Dade County,FL,Florida,City,25.79065,-80.13005,92312,South,3050087.565
41,SO - 0002908,2017-01-02,Export,10,1072.0,10720.0,428.8,643.2,Remedy Ltd,Product 6,Natrona County,WY,Wyoming,City,42.86663,-106.31308,60285,West,1672229.416
42,SO - 0004368,2017-01-02,Distributor,8,3839.1,30712.8,1996.332,1842.7679999999998,Bluezoom Group,Product 25,Oakland County,MI,Michigan,Charter Township,42.56923,-83.38727,65885,Midwest,5342315.484
43,SO - 0005705,2017-01-02,Wholesale,10,1963.1000000000001,19631.0,863.764,1099.3360000000002,Centizu Company,Product 11,Outagamie County/Calumet County/Winnebago County,WI,Wisconsin,City,44.27795,-88.38826,74139,Midwest,1230458.484
44,SO - 0007404,2017-01-02,Wholesale,9,5936.2,53425.799999999996,3561.72,2374.48,Oba Company,Product 26,Chatham County/Wake County,NC,North Carolina,Town,35.78088,-78.81327,159769,South,5685138.2700000005
45,SO - 0008748,2017-01-02,Export,7,2338.3,16368.100000000002,1028.852,1309.448,Colgate-Pa Group,Product 7,Richmond city,VA,Virginia,City,37.55376,-77.46026,220289,South,889737.555
46,SO - 0002435,2017-01-02,Wholesale,8,1031.8,8254.4,443.674,588.126,Bath Group,Product 5,Sacramento County,CA,California,CDP,38.61713,-121.32828,63314,West,3925424.5420000004
47,SO - 0004041,2017-01-02,Wholesale,5,2592.9,12964.5,1218.663,1374.237,Deseret Group,Product 4,Prince William County,VA,Virginia,CDP,38.63706,-77.31109,70381,South,2885560.824
48,SO - 0004738,2017-01-02,Wholesale,7,837.5,5862.5,644.875,192.625,Cogidoo Company,Product 20,Los Angeles County,CA,California,City,34.57943,-118.11646,158351,West,2067108.1199999999
49,SO - 0005552,2017-01-02,Export,7,3189.2000000000003,22324.4,2647.036,542.1640000000002,Vimbo Company,Product 21,Macomb County,MI,Michigan,City,42.49982,-83.00549,135358,Midwest,959899.2180000001
50,SO - 0008746,2017-01-02,Distributor,10,2244.5,22445.0,920.2449999999999,1324.255,Cantrell Company,Product 16,Spokane County,WA,Washington,City,47.65878,-117.42605,213272,West,2062061.144
51,SO - 0009209,2017-01-02,Wholesale,12,207.70000000000002,2492.4,85.157,122.54300000000002,Twimbo Company,Product 25,Queens County,NY,New York,Borough,40.75,-73.86667,2339150,Northeast,5342315.484
52,SO - 0009420,2017-01-02,Wholesale,5,5286.3,26431.5,3013.191,2273.1090000000004,CLINIQUE Ltd,Product 12,Monterey County,CA,California,City,36.67774,-121.6555,157380,West,1356976.996
53,SO - 000962,2017-01-02,Wholesale,9,837.5,7537.5,644.875,192.625,Neutrogena Ltd,Product 4,Palm Beach County,FL,Florida,City,26.71534,-80.05337,106779,South,2885560.824
54,SO - 0001665,2017-01-02,Export,6,824.1,4944.6,659.2800000000001,164.81999999999994,Golden Corp,Product 16,Marion County,IN,Indiana,Township,39.87632,-86.14291,137215,Midwest,2062061.144
55,SO - 0001933,2017-01-02,Distributor,6,254.6,1527.6,216.41,38.19,Cogilith Group,Product 13,Orange County,CA,California,City,33.66946,-117.82311,256927,West,3720639.645
56,SO - 0003799,2017-01-02,Distributor,6,1045.2,6271.200000000001,616.668,428.53200000000004,Ascend Ltd,Product 15,Marion County,IN,Indiana,Township,39.77186,-86.26094,142010,Midwest,3299478.315
57,SO - 0004235,2017-01-02,Wholesale,9,4006.6,36059.4,1802.97,2203.63,SAFEWAY Ltd,Product 8,Cook County,IL,Illinois,City,42.04114,-87.69006,75527,Midwest,1085037.3290000001
58,SO - 0005690,2017-01-02,Wholesale,5,804.0,4020.0,683.4,120.60000000000002,Zoonoodle Ltd,Product 13,Orange County,FL,Florida,CDP,28.5641,-81.2114,85561,South,3720639.645
59,SO - 0009993,2017-01-02,Wholesale,11,3872.6,42598.6,1665.2179999999998,2207.382,Skyvu Group,Product 1,Los Angeles County,CA,California,CDP,33.96085,-118.04173,58328,West,3016489.209
60,SO - 0001424,2017-01-02,Distributor,7,1688.4,11818.800000000001,844.2,844.2,Nlounge Ltd,Product 19,Muscogee County,GA,Georgia,City,32.46098,-84.98771,200579,South,1645841.6
61,SO - 0003399,2017-01-02,Distributor,9,1072.0,9648.0,814.72,257.28,Linklinks Ltd,Product 4,Bucks County,PA,Pennsylvania,Township,40.10622,-74.94364,60374,Northeast,2885560.824
62,SO - 0005388,2017-01-02,Export,5,167.5,837.5,105.525,61.974999999999994,CARDINAL Group,Product 18,Wyandotte County,KS,Kansas,City,39.11417,-94.62746,151306,Midwest,2309499.045
63,SO - 0006164,2017-01-02,Distributor,10,3979.8,39798.0,3303.234,676.5660000000003,SAFEWAY Ltd,Product 12,Hillsborough County,FL,Florida,CDP,28.01057,-82.57732,82506,South,1356976.996
64,SO - 0007186,2017-01-02,Distributor,6,2251.2000000000003,13507.2,1508.3040000000003,742.896,Chatterbri Ltd,Product 14,Hampden County,MA,Massachusetts,City,42.1487,-72.60787,56741,Northeast,4028698.4090000005
65,SO - 0007332,2017-01-02,Wholesale,6,5889.3,35335.8,4711.4400000000005,1177.8599999999997,Blogspan Ltd,Product 3,Wayne County,MI,Michigan,City,42.33698,-83.27326,56145,Midwest,2642352.432
66,SO - 0007607,2017-01-02,Distributor,11,2860.9,31469.9,1316.0140000000001,1544.886,Snaptags Ltd,Product 5,Hamilton County,IN,Indiana,City,40.04559,-86.0086,59093,Midwest,3925424.5420000004
67,SO - 0008254,2017-01-02,Wholesale,8,1031.8,8254.4,815.122,216.678,Jabbercube Corp,Product 16,Bucks County,PA,Pennsylvania,Township,40.10622,-74.94364,60374,Northeast,2062061.144
68,SO - 0001891,2017-01-02,Distributor,12,3926.2000000000003,47114.4,2669.8160000000003,1256.384,Skyvu Group,Product 14,Orange County,CA,California,City,33.52253,-117.70755,65806,West,4028698.4090000005
69,SO - 0002187,2017-01-02,Distributor,11,3979.8,43777.8,1989.9,1989.9,MEIJER Corp,Product 18,Sacramento County,CA,California,City,38.58157,-121.4944,490712,West,2309499.045
70,SO - 0002601,2017-01-02,Wholesale,12,6137.2,73646.4,3375.46,2761.74,Voonyx Group,Product 20,Orange County,CA,California,City,33.87224,-117.87034,52495,West,2067108.1199999999
71,SO - 0005600,2017-01-02,Wholesale,7,971.5,6800.5,505.18,466.32,Cadila Ltd,Product 25,Harrison County/Gregg County,TX,Texas,City,32.51934,-94.76459,82287,South,5342315.484
72,SO - 0005771,2017-01-02,Wholesale,7,1092.1000000000001,7644.700000000001,589.7340000000002,502.366,Pacific Ltd,Product 2,Orange County,CA,California,City,33.83529,-117.9145,350742,West,3050087.565
73,SO - 0006743,2017-01-02,Wholesale,5,6231.0,31155.0,4174.77,2056.2299999999996,Aromaticos Company,Product 2,Santa Barbara County,CA,California,City,34.42083,-119.69819,91842,West,3050087.565
74,SO - 0009768,2017-01-02,Wholesale,5,2653.2000000000003,13266.000000000002,1698.0480000000002,955.152,Eidel Corp,Product 3,King County/Pierce County,WA,Washington,City,47.30377,-122.21,77006,West,2642352.432
75,SO - 0008653,2017-01-02,Export,5,1078.7,5393.5,841.3860000000001,237.31399999999996,Mylan Corp,Product 13,Santa Barbara County,CA,California,City,34.95303,-120.43572,105093,West,3720639.645
76,SO - 000491,2017-01-02,Wholesale,11,2452.2000000000003,26974.200000000004,1912.7160000000003,539.4839999999999,Mydo Corp,Product 15,Lee County,FL,Florida,City,26.33981,-81.7787,51704,South,3299478.315
77,SO - 0002388,2017-01-02,Wholesale,8,2686.7000000000003,21493.600000000002,1423.9510000000002,1262.749,ALK-Abello Ltd,Product 6,Leon County,FL,Florida,City,30.43826,-84.28073,189907,South,1672229.416
78,SO - 0002621,2017-01-02,Distributor,6,978.2,5869.200000000001,665.176,313.024,Golden Corp,Product 6,Alameda County,CA,California,City,37.54827,-121.98857,232206,West,1672229.416
79,SO - 0002866,2017-01-02,Wholesale,6,3939.6,23637.6,2600.136,1339.464,Kaymbo Company,Product 1,Fairfield County,CT,Connecticut,City,41.39482,-73.45401,84657,Northeast,3016489.209
80,SO - 0003103,2017-01-02,Distributor,11,1695.1000000000001,18646.100000000002,966.207,728.8930000000001,Pfizer Corp,Product 25,Maricopa County,AZ,Arizona,City,33.37032,-112.58378,62138,West,5342315.484
81,SO - 0005390,2017-01-02,Distributor,10,676.7,6767.0,514.292,162.40800000000002,Colgate-Pa Group,Product 8,Gaston County,NC,North Carolina,City,35.26208,-81.1873,74543,South,1085037.3290000001
82,SO - 0006381,2017-01-02,Wholesale,7,3102.1,21714.7,1271.8609999999999,1830.239,Cogidoo Company,Product 4,Garfield County,OK,Oklahoma,City,36.39559,-97.87839,51776,South,2885560.824
83,SO - 0007355,2017-01-02,Wholesale,11,3671.6,40387.6,2459.972,1211.6279999999997,Thoughtmix Ltd,Product 26,Fulton County/Cobb County,GA,Georgia,City,34.03945,-84.35095,94501,South,5685138.2700000005
84,SO - 0008619,2017-01-02,Wholesale,7,201.0,1407.0,118.58999999999999,82.41000000000001,Natures Group,Product 2,San Diego County,CA,California,City,32.71533,-117.15726,1394928,West,3050087.565
85,SO - 0009103,2017-01-02,Wholesale,12,1721.9,20662.800000000003,843.731,878.1690000000001,Eidel Corp,Product 13,Caldwell County/Hays County/Guadalupe County,TX,Texas,City,29.8729,-97.93773,60684,South,3720639.645
86,SO - 0009761,2017-01-02,Wholesale,5,1232.8,6164.0,875.2879999999999,357.51200000000006,Avamba Company,Product 20,Kern County,CA,California,City,35.76884,-119.24705,52733,West,2067108.1199999999
87,SO - 0009952,2017-01-02,Distributor,8,261.3,2090.4,154.167,107.13300000000001,Skyvu Group,Product 25,Cumberland County,NC,North Carolina,City,35.05266,-78.87836,201963,South,5342315.484
88,SO - 0002901,2017-01-03,Wholesale,9,261.3,2351.7000000000003,198.58800000000002,62.71199999999999,Twinte Group,Product 25,Santa Clara County,CA,California,City,37.36883,-122.03635,151754,West,5342315.484
89,SO - 0003602,2017-01-03,Wholesale,9,6023.3,54209.700000000004,4758.407,1264.893,Mydo Corp,Product 6,DeKalb County,GA,Georgia,City,33.85844,-84.3402,51910,South,1672229.416
90,SO - 0004487,2017-01-03,Wholesale,9,1045.2,9406.800000000001,522.6,522.6,Fatz Group,Product 7,Marion County,IN,Indiana,Township,39.8716,-86.01156,123397,Midwest,889737.555
91,SO - 000189,2017-01-03,Export,9,3953.0,35577.0,3360.0499999999997,592.9500000000003,Viva Ltd,Product 12,Cook County/Kane County,IL,Illinois,Village,42.06521,-88.153,52138,Midwest,1356976.996
92,SO - 0001627,2017-01-03,Distributor,10,3959.7000000000003,39597.0,3009.3720000000003,950.328,The Ltd,Product 16,Sacramento County,CA,California,CDP,38.61713,-121.32828,63314,West,2062061.144
93,SO - 0003272,2017-01-03,Distributor,6,6438.7,38632.2,2575.48,3863.22,Zava Group,Product 11,Hennepin County,MN,Minnesota,City,44.9133,-93.50329,51669,Midwest,1230458.484
94,SO - 0006032,2017-01-03,Distributor,5,777.2,3886.0,349.74,427.46000000000004,Zava Group,Product 15,DuPage County,IL,Illinois,Township,41.77193,-88.09209,119818,Midwest,3299478.315
95,SO - 0008909,2017-01-03,Wholesale,5,1956.4,9782.0,1584.6840000000002,371.7159999999999,US Ltd,Product 20,Guilford County,NC,North Carolina,City,36.07264,-79.79198,285342,South,2067108.1199999999
96,SO - 0010169,2017-01-03,Wholesale,11,2666.6,29332.6,1786.622,879.9779999999998,SUPERVALU Ltd,Product 1,Monroe County,IN,Indiana,Township,39.11904,-86.51979,53382,Midwest,3016489.209
97,SO - 0003164,2017-01-03,Wholesale,9,884.4,7959.599999999999,353.76,530.64,Deseret Group,Product 20,Mobile County,AL,Alabama,City,30.69436,-88.04305,194288,South,2067108.1199999999
98,SO - 0003406,2017-01-03,Wholesale,7,6137.2,42960.4,4296.04,1841.1599999999999,Zava Group,Product 6,Broward County,FL,Florida,City,26.10037,-80.39977,69959,South,1672229.416
99,SO - 0005059,2017-01-03,Wholesale,8,6090.3,48722.4,2618.829,3471.471,Natures Group,Product 1,King County,WA,Washington,City,47.47038,-122.34679,50467,West,3016489.209
100,SO - 0008419,2017-01-03,Wholesale,9,1038.5,9346.5,498.47999999999996,540.02,Skyvu Group,Product 17,Dakota County,MN,Minnesota,City,44.64969,-93.24272,60633,Midwest,2119616.824
101,SO - 0008391,2017-01-03,Wholesale,7,3906.1,27342.7,3046.758,859.3420000000001,Zoonoodle Ltd,Product 5,Lackawanna County,PA,Pennsylvania,City,41.40897,-75.66241,77118,Northeast,3925424.5420000004
102,SO - 0001163,2017-01-03,Distributor,8,917.9,7343.2,431.41299999999995,486.487,Wordpedia Ltd,Product 19,Middlesex County,MA,Massachusetts,City,42.41843,-71.10616,57403,Northeast,1645841.6
103,SO - 0006750,2017-01-03,Wholesale,12,1775.5,21306.0,1083.055,692.4449999999999,NARS Group,Product 20,Middlesex County,MA,Massachusetts,City,42.3751,-71.10561,110402,Northeast,2067108.1199999999
104,SO - 0007819,2017-01-03,Wholesale,10,1112.2,11122.0,912.004,200.19600000000003,US Ltd,Product 15,Hampden County,MA,Massachusetts,City,42.10148,-72.58981,154341,Northeast,3299478.315
105,SO - 0009969,2017-01-03,Export,9,3973.1,35757.9,2661.9770000000003,1311.1229999999996,Tekfly Group,Product 30,Adams County,CO,Colorado,City,39.80832,-104.93387,53696,West,1011609.684
106,SO - 000148,2017-01-03,Wholesale,10,6452.1,64521.0,5161.68,1290.42,Realbuzz Ltd,Product 13,Dane County,WI,Wisconsin,City,43.07305,-89.40123,248951,Midwest,3720639.645
107,SO - 000696,2017-01-03,Distributor,11,3906.1,42967.1,1835.867,2070.233,Remedy Ltd,Product 26,Wayne County,MI,Michigan,City,42.36837,-83.35271,94635,Midwest,5685138.2700000005
108,SO - 0001559,2017-01-03,Wholesale,7,1989.9,13929.300000000001,835.758,1154.142,Jabbercube Corp,Product 21,Bristol County,MA,Massachusetts,City,41.63622,-70.93421,94958,Northeast,959899.2180000001
109,SO - 0003181,2017-01-03,Wholesale,7,2251.2000000000003,15758.400000000001,1710.9120000000003,540.288,Skidoo Company,Product 3,Los Angeles County,CA,California,City,34.13973,-118.03534,58408,West,2642352.432
110,SO - 0004628,2017-01-03,Wholesale,10,1192.6000000000001,11926.000000000002,918.3020000000001,274.298,Kazu Corp,Product 4,McLean County,IL,Illinois,Township,40.53839,-88.98528,54383,Midwest,2885560.824
111,SO - 0005219,2017-01-03,Distributor,11,3999.9,43998.9,3119.922,879.9780000000001,Oba Company,Product 25,Randall County/Potter County,TX,Texas,City,35.19988,-101.8302,198645,South,5342315.484
112,SO - 0006313,2017-01-03,Export,8,1822.4,14579.2,1530.816,291.58400000000006,Sanum-Kehl Group,Product 16,San Joaquin County,CA,California,City,37.9577,-121.29078,305658,West,2062061.144
113,SO - 0007008,2017-01-03,Distributor,7,234.5,1641.5,93.80000000000001,140.7,Fred's Company,Product 19,Los Angeles County,CA,California,City,34.08529,-117.9609,77071,West,1645841.6
114,SO - 000692,2017-01-03,Export,9,3731.9,33587.1,2276.459,1455.4410000000003,ALK-Abello Ltd,Product 6,Rockwall County/Kaufman County/Collin County/Denton County/Dallas County,TX,Texas,City,32.79333,-96.76651,1300092,South,1672229.416
115,SO - 000929,2017-01-03,Export,9,261.3,2351.7000000000003,198.58800000000002,62.71199999999999,General Company,Product 15,Winnebago County,IL,Illinois,Township,42.24868,-89.07452,173110,Midwest,3299478.315
116,SO - 0002644,2017-01-03,Distributor,9,3852.5,34672.5,2504.125,1348.375,Twitterbri Ltd,Product 19,King County/Pierce County,WA,Washington,City,47.30377,-122.21,77006,West,1645841.6
117,SO - 0003210,2017-01-03,Wholesale,12,1085.4,13024.800000000001,640.386,445.0140000000001,Yodoo Ltd,Product 17,Champaign County,IL,Illinois,City,40.11642,-88.24338,86096,Midwest,2119616.824
118,SO - 0003737,2017-01-03,Distributor,6,2311.5,13869.0,1733.625,577.875,NARS Group,Product 25,San Diego County,CA,California,City,32.67806,-117.09917,61060,West,5342315.484
119,SO - 0005480,2017-01-03,Wholesale,5,2686.7000000000003,13433.500000000002,2122.4930000000004,564.2069999999999,Blogspan Ltd,Product 14,Salt Lake County,UT,Utah,City,40.69161,-112.00105,136208,West,4028698.4090000005
120,SO - 0006125,2017-01-03,Wholesale,11,1815.7,19972.7,726.2800000000001,1089.42,Zooveo Company,Product 29,Fairfax County,VA,Virginia,CDP,38.84039,-77.42888,73677,South,594471.5700000001
121,SO - 0006192,2017-01-03,Export,7,2458.9,17212.3,1032.738,1426.162,Skyvu Group,Product 20,DeKalb County,GA,Georgia,City,33.85844,-84.3402,51910,South,2067108.1199999999
122,SO - 0006469,2017-01-03,Distributor,5,2237.8,11189.0,939.8760000000001,1297.924,Army Group,Product 23,Greene County/Montgomery County,OH,Ohio,City,39.69599,-84.15044,55525,Midwest,1135815.7580000001
123,SO - 0004529,2017-01-04,Distributor,11,4006.6,44072.6,2844.6859999999997,1161.9140000000002,Valeant Corp,Product 29,Hall County,NE,Nebraska,City,40.92501,-98.34201,51440,Midwest,594471.5700000001
124,SO - 0005789,2017-01-04,Wholesale,7,1902.8,13319.6,1427.1,475.70000000000005,Skajo Ltd,Product 1,Hidalgo County,TX,Texas,City,26.1948,-98.18362,76538,South,3016489.209
125,SO - 0006334,2017-01-04,Wholesale,12,1125.6000000000001,13507.2,472.75200000000007,652.8480000000001,Tekfly Group,Product 5,Santa Clara County,CA,California,City,37.36883,-122.03635,151754,West,3925424.5420000004
126,SO - 0008860,2017-01-04,Distributor,10,5768.7,57687.0,4268.838,1499.862,Accord Group,Product 4,Hillsborough County,FL,Florida,CDP,27.9378,-82.28592,106604,South,2885560.824
127,SO - 0003871,2017-01-04,Wholesale,7,790.6,5534.2,434.83000000000004,355.77,Janyx Group,Product 13,Peach County/Houston County,GA,Georgia,City,32.5971,-83.65394,73490,South,3720639.645
128,SO - 0004981,2017-01-04,Wholesale,9,1065.3,9587.699999999999,521.997,543.303,Devpoint Group,Product 20,Orleans Parish,LA,Louisiana,City,29.95465,-90.07507,389617,South,2067108.1199999999
129,SO - 0007239,2017-01-04,Wholesale,10,3906.1,39061.0,2695.209,1210.891,Dynazzy Company,Product 25,Kane County,IL,Illinois,Township,41.94151,-88.321,51812,Midwest,5342315.484
130,SO - 0008957,2017-01-04,Wholesale,12,958.1,11497.2,440.72600000000006,517.374,Trunyx Ltd,Product 11,Miami-Dade County,FL,Florida,CDP,25.75871,-80.39839,57123,South,1230458.484
131,SO - 0004451,2017-01-04,Wholesale,12,6559.3,78711.6,5444.219,1115.0810000000001,Zoomdog Corp,Product 2,Caldwell County/Hays County/Guadalupe County,TX,Texas,City,29.8729,-97.93773,60684,South,3050087.565
132,SO - 0004698,2017-01-04,Wholesale,8,3953.0,31624.0,1818.38,2134.62,Pfizer Corp,Product 5,Utah County,UT,Utah,City,40.2969,-111.69465,94457,West,3925424.5420000004
133,SO - 0005566,2017-01-04,Distributor,8,174.20000000000002,1393.6000000000001,142.844,31.356000000000023,Aromaticos Company,Product 18,Fulton County/Cobb County,GA,Georgia,City,34.03945,-84.35095,94501,South,2309499.045
134,SO - 0005773,2017-01-04,Wholesale,12,3939.6,47275.2,2481.948,1457.652,Flipbug Ltd,Product 15,Oakland County,MI,Michigan,City,42.65837,-83.14993,73424,Midwest,3299478.315
